model,size,quant,domain,success_rate_mean,success_rate_std,mean_reward_mean,mean_reward_std,failure_rate_mean,failure_rate_std,avg_tool_calls_mean,avg_tool_calls_std,avg_turns_mean,avg_turns_std,runs_crashed_mean,runs_crashed_std,agent_crash_rate_mean,agent_crash_rate_std,tool_format_violation_rate_mean,tool_format_violation_rate_std,energy_mean,energy_std,cpu_mean,cpu_std,ram_mean,ram_std,gpu_util_mean,gpu_util_std,gpu_mem_mean,gpu_mem_std,gpu_power_mean,gpu_power_std,total_tasks,successes,failures,errors
Ministral3,8B,4-bit,os,0.1527777777777778,0.0,0.1538461538461538,0.0,0.8402777777777778,0.0,3.363636363636364,0.0,3.636363636363636,0.0,1.0,0.0,0.0699300699300699,0.0,0.0909090909090909,0.0,309013.5134969993,0.0,4.462083780880782,0.0,589.5346334586466,0.0,16.747153598281418,0.0,8324.834076262085,0.0,95.19132653061196,0.0,144,22,121,1
Ministral3,8B,4-bit,dbbench,0.2033333333333333,0.0,0.2033333333333333,0.0,0.0,0.0,4.276666666666666,0.0,4.276666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776750.3390709994,0.0,4.817750588235233,0.0,609.4498047794118,0.0,22.727435294117647,0.0,11517.054552941176,0.0,110.77934748235285,0.0,300,61,239,0
Ministral3,8B,4-bit,alfworld,0.0275229357798165,0.0,0.0275229357798165,0.0,0.0,0.0,7.330275229357798,0.0,7.330275229357798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258168.31676500043,0.0,5.34056712962963,0.0,150.59835137261285,0.0,21.62065972222222,0.0,11522.199273003473,0.0,110.90666811342592,0.0,109,3,106,0
Ministral3,8B,4-bit,webshop,0.83,0.0,0.5045,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448904.6127000004,0.0,5.034380334585183,0.0,150.5766933307016,0.0,23.74667121884602,0.0,11512.526694264254,0.0,120.27952492318198,0.0,200,166,34,0
Ministral3,8B,bf16,os,0.1319444444444444,0.0,0.1328671328671328,0.0,0.8611111111111112,0.0,3.244755244755245,0.0,3.244755244755245,0.0,1.0,0.0,0.0839160839160839,0.0,0.0909090909090909,0.0,513232.50057000143,0.0,5.317318815923754,0.0,590.0019245491663,0.0,36.212657366451175,0.0,18218.36555801293,0.0,136.68458285131047,0.0,144,19,124,1
Ministral3,8B,bf16,dbbench,0.2166666666666666,0.0,0.2166666666666666,0.0,0.0,0.0,4.296666666666667,0.0,4.296666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489260.899022996,0.0,5.527297333874695,0.0,617.7206082309852,0.0,46.95811341182839,0.0,22053.3790939234,0.0,163.06156435241522,0.0,300,65,235,0
Ministral3,8B,bf16,alfworld,0.0091743119266055,0.0,0.0091743119266055,0.0,0.0,0.0,6.844036697247707,0.0,6.844036697247707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447251.47248100006,0.0,5.7651886591345125,0.0,150.09297557823493,0.0,40.48305265401833,0.0,22020.125119910463,0.0,149.05665252611382,0.0,109,1,108,0
Ministral3,8B,bf16,webshop,0.785,0.0,0.5017916666666666,0.0,0.0,0.0,4.315,0.0,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916630.5601420024,0.0,5.828756533101045,0.0,151.81892464135998,0.0,46.22789634146341,0.0,22036.242139862807,0.0,163.50185899390246,0.0,200,157,43,0
Ministral3,8B,8-bit,os,0.1458333333333333,0.0,0.1468531468531468,0.0,0.8472222222222222,0.0,3.3076923076923075,0.0,3.363636363636364,0.0,1.0,0.0,0.0769230769230769,0.0,0.1048951048951049,0.0,374058.4653150002,0.0,4.863557614826719,0.0,590.6475569412269,0.0,24.439161966156327,0.0,11366.054870064463,0.0,117.38532352941183,0.0,144,21,122,1
Ministral3,8B,8-bit,dbbench,0.2433333333333333,0.0,0.2433333333333333,0.0,0.0,0.0,4.31,0.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068989.315425997,0.0,5.058366700033253,0.0,610.0890125151193,0.0,32.96304637971305,0.0,14879.805758883884,0.0,140.56266516516465,0.0,300,73,227,0
