model,size,quant,domain,success_rate_mean,energy_per_task,energy_per_success,success_per_energy,tool_calls_per_success
Ministral3,8B,4-bit,os,0.1527777777777778,2145.927177062495,14046.06879531815,7.119429746302547e-05,0.0
Ministral3,8B,4-bit,dbbench,0.20333333333333334,2589.1677969033312,12733.612115918024,7.853231203343479e-05,0.0
Ministral3,8B,4-bit,alfworld,0.027522935779816515,2368.5166675688115,86056.10558833348,1.1620325985743525e-05,0.0
Ministral3,8B,4-bit,webshop,0.83,2244.523063500002,2704.2446548192797,0.0003697890271199698,0.0
Ministral3,8B,bf16,os,0.13194444444444445,3564.114587291677,27012.23687210534,3.702025880843166e-05,0.0
Ministral3,8B,bf16,dbbench,0.21666666666666667,4964.20299674332,22911.706138815323,4.364581118234027e-05,0.0
Ministral3,8B,bf16,alfworld,0.009174311926605505,4103.224518174313,447251.47248100006,2.2358786086332706e-06,0.0
Ministral3,8B,bf16,webshop,0.785,4583.152800710012,5838.411211095557,0.000171279473788958,0.0
Ministral3,8B,8-bit,os,0.14583333333333334,2597.6282313541683,17812.30787214287,5.614095642058411e-05,0.0
Ministral3,8B,8-bit,dbbench,0.24333333333333335,3563.2977180866565,14643.689252410917,6.828880227947759e-05,0.0
Ministral3,8B,8-bit,alfworld,0.01834862385321101,2833.9946759541276,154452.70983949996,6.4744736498255895e-06,0.0
Ministral3,8B,8-bit,webshop,0.795,3233.4262874150068,4067.2028772515805,0.00024586922024301665,0.0
Ministral3,3B,4-bit,os,0.0,1096.4702762291665,0.0,0.0,0.0
Ministral3,3B,4-bit,dbbench,0.06,4995.555446526669,83259.25744211115,1.2010676418718775e-05,0.0
Ministral3,3B,4-bit,alfworld,0.009174311926605505,1511.2295934403662,164724.0256849999,6.070759841143574e-06,0.0
Ministral3,3B,4-bit,webshop,0.8,1711.5584570949982,2139.4480713687476,0.00046741026967774603,0.0
Ministral3,3B,bf16,os,0.0,1556.8759646736078,0.0,0.0,0.0
Ministral3,3B,bf16,dbbench,0.11333333333333333,5746.8328760366385,50707.34890620563,1.9721007340567525e-05,0.0
Ministral3,3B,bf16,alfworld,0.03669724770642202,2083.368359440368,56771.787794750024,1.7614382756719793e-05,0.0
Ministral3,3B,bf16,webshop,0.515,5219.0935467550025,10134.162226708742,9.867613894757717e-05,0.0
Ministral3,3B,8-bit,os,0.0,1294.2691570347233,0.0,0.0,0.0
Ministral3,3B,8-bit,dbbench,0.11,3566.0879705699977,32418.98155063634,3.084612631763478e-05,0.0
Ministral3,3B,8-bit,alfworld,0.027522935779816515,1770.9648560825672,64345.05643766661,1.5541209462901572e-05,0.0
Ministral3,3B,8-bit,webshop,0.565,3561.7241069899965,6303.936472548667,0.00015863104020077512,0.0
Qwen3,8B,4-bit,dbbench,0.2966666666666667,1513.0319538899985,5100.107709741568,0.00019607429037036395,0.0
Qwen3,8B,4-bit,alfworld,0.009174311926605505,1700.4288485504574,185346.74449199985,5.395293037063099e-06,0.0
Qwen3,8B,4-bit,webshop,0.15,3100.1027512449964,20667.35167496664,4.8385493009791444e-05,0.0
Qwen3,8B,bf16,os,0.2847222222222222,8024.740482611116,28184.454377951235,3.548055203021075e-05,0.0
Qwen3,8B,bf16,dbbench,0.30666666666666664,2477.2220745466616,8077.898069173896,0.00012379458015397652,0.0
Qwen3,8B,bf16,alfworld,0.027522935779816515,2462.4195213486223,89467.90927566662,1.1177192002093413e-05,0.0
Qwen3,8B,bf16,webshop,0.245,5205.701980614998,21247.763186183667,4.706377754860563e-05,0.0
Qwen3,8B,8-bit,dbbench,0.30333333333333334,1795.25570579,5918.425403703297,0.00016896385977497946,0.0
Qwen3,8B,8-bit,alfworld,0.027522935779816515,1843.4870055688066,66980.02786899997,1.4929823587947848e-05,0.0
Qwen3,8B,8-bit,webshop,0.175,3735.3947968650027,21345.113124942873,4.684913095313831e-05,0.0
Qwen3,4B,4-bit,dbbench,0.4633333333333333,11962.918549043354,25819.248667000043,3.8730793947467364e-05,0.0
Qwen3,4B,4-bit,alfworld,0.1743119266055046,19861.096142633116,113939.97260773736,8.776551170875854e-06,0.0
Qwen3,4B,4-bit,webshop,0.7,21314.969742120076,30449.956774457252,3.284076911527321e-05,0.0
Qwen3,4B,bf16,dbbench,0.47,21061.939767140077,44812.63780242569,2.2315133610498383e-05,0.0
Qwen3,4B,bf16,alfworld,0.1559633027522936,41504.94419359618,266119.9363001167,3.7577041912119286e-06,0.0
Qwen3,4B,bf16,webshop,0.785,29932.191633595205,38130.18042496205,2.622594461539308e-05,0.0
Qwen3,4B,8-bit,dbbench,0.47,15397.229357203272,32760.062462134625,3.052497232433056e-05,0.0
Qwen3,4B,8-bit,alfworld,0.13761467889908258,25800.741894550425,187485.39110039975,5.333748907745526e-06,0.0
Qwen3,4B,8-bit,webshop,0.78,19124.60761102502,24518.727706442336,4.0785150517302266e-05,0.0
